,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ribeira grande,20,ES,1586373114,82,42.75,-8.44,17.78,2.1
1,puerto ayora,100,ES,1586373114,55,36.59,-6.23,19.0,5.7
2,bredasdorp,99,ZA,1586372795,72,-34.53,20.04,16.11,6.2
3,rikitea,51,PF,1586372785,81,-23.12,-134.97,24.94,5.26
4,katsuura,0,JP,1586372840,76,35.13,140.3,13.0,4.1
5,grand gaube,1,US,1586373114,14,38.88,-109.5,20.0,2.6
6,hermanus,95,ZA,1586372784,73,-34.42,19.23,17.22,2.68
7,valparaiso,90,CL,1586372714,100,-33.04,-71.63,16.0,3.1
8,veraval,0,IN,1586373114,88,20.9,70.37,24.5,4.53
9,busselton,4,AU,1586372799,51,-33.65,115.33,16.11,3.72
10,qaanaaq,100,GL,1586372787,85,77.48,-69.36,-8.48,3.93
11,mataura,100,NZ,1586372807,91,-46.19,168.86,10.0,6.26
12,ushuaia,39,AR,1586373115,32,-54.8,-68.3,20.0,2.6
13,ambon,74,ID,1586372940,75,-3.7,128.18,27.88,4.05
14,sao paulo de olivenca,0,IN,1586373115,17,20.51,76.21,28.26,4.44
15,port alfred,82,CD,1586373115,56,-7.03,29.76,23.73,1.52
16,nikolskoye,40,RU,1586372797,33,59.7,30.79,8.0,2.0
17,hilo,90,US,1586372786,78,19.73,-155.09,23.0,1.13
18,port-gentil,98,GA,1586372820,85,-0.72,8.78,26.27,5.81
19,koungou,28,YT,1586373115,74,-12.73,45.2,29.0,4.6
20,hanmer springs,32,GB,1586373115,62,52.95,-2.81,16.67,5.7
21,burnie,69,AU,1586372923,86,-41.07,145.92,12.78,0.89
22,barrow,1,US,1586372646,83,71.29,-156.79,-24.0,2.6
23,balkhash,98,KZ,1586373116,58,46.84,74.98,4.56,3.96
24,port lincoln,82,CD,1586373116,56,-7.03,29.76,23.73,1.52
25,digha,14,IN,1586373116,79,21.68,87.55,28.09,6.2
26,belaya gora,0,UA,1586373116,55,49.03,25.77,12.77,3.3
27,punta arenas,0,PH,1586373116,84,8.99,125.34,24.61,0.63
28,ocara,91,BR,1586373116,59,-4.49,-38.6,30.99,2.56
29,airai,96,TL,1586372784,70,-8.93,125.41,16.06,0.35
30,thompson,75,CA,1586372543,95,55.74,-97.86,0.0,3.6
31,tuktoyaktuk,40,CA,1586372794,71,69.45,-133.04,-16.0,2.6
32,makakilo city,75,US,1586372893,83,21.35,-158.09,25.0,1.5
33,grootfontein,59,NA,1586373116,56,-19.57,18.12,18.47,2.54
34,labuhan,100,ID,1586372948,86,-6.88,112.21,25.19,2.13
35,kovur,26,IN,1586373117,76,14.48,79.98,27.99,3.28
36,salta,75,AR,1586373117,77,-24.79,-65.41,17.0,3.1
37,bulanash,98,RU,1586373117,89,57.28,62.0,-3.36,4.5
38,yellowknife,5,CA,1586372733,49,62.46,-114.35,-5.0,5.1
39,lorengau,72,PG,1586372784,79,-2.02,147.27,27.29,1.99
40,halifax,75,CA,1586372808,41,44.65,-63.57,8.89,5.7
41,cabedelo,20,BR,1586373117,62,-6.98,-34.83,31.0,5.7
42,khatanga,100,RU,1586372820,96,71.97,102.5,-4.97,4.46
43,upernavik,1,GL,1586372788,88,72.79,-56.15,-7.99,1.59
44,yulara,65,AU,1586372795,45,-25.24,130.99,17.0,3.1
45,vaini,90,TO,1586372782,100,-21.2,-175.2,26.0,23.1
46,nanortalik,99,GL,1586372845,79,60.14,-45.24,1.82,6.83
47,jamestown,20,US,1586372561,71,42.1,-79.24,16.11,7.2
48,kodiak,1,US,1586372783,59,57.79,-152.41,1.0,9.3
49,mount gambier,31,GB,1586373117,58,53.66,-1.85,17.78,3.1
50,sydney mines,75,AU,1586372923,88,-33.87,151.21,17.22,4.6
51,lata,40,PT,1586373118,82,40.16,-8.33,18.0,2.6
52,pilar,20,BR,1586373118,66,-9.6,-35.96,30.0,3.6
53,dunedin,90,NZ,1586373118,71,-45.87,170.5,10.56,0.89
54,new norfolk,75,LR,1586373072,79,6.65,-10.59,30.0,4.1
55,kemijarvi,100,FI,1586373118,83,66.71,27.43,1.78,4.81
56,khani,0,GE,1586373092,45,41.96,42.96,9.0,13.4
57,rio gallegos,3,GR,1586373119,51,38.3,21.78,14.0,5.7
58,albany,90,US,1586372497,50,42.6,-73.97,14.44,3.1
59,waingapu,73,ID,1586373119,77,-9.66,120.26,26.11,0.93
60,butaritari,100,KI,1586372811,79,3.07,172.79,28.61,6.69
61,requena,11,ES,1586372854,67,39.49,-1.1,16.67,3.6
62,avarua,75,CK,1586372530,88,-21.21,-159.78,27.0,7.7
63,vao,10,NC,1586373119,74,-22.67,167.48,23.63,6.35
64,kamaishi,98,JP,1586373119,80,39.27,141.88,7.79,3.24
65,cabo san lucas,20,BR,1586373119,66,-8.28,-35.03,30.0,4.6
66,dikson,47,RU,1586372818,96,73.51,80.55,-12.44,6.29
67,mar del plata,3,ES,1586373119,93,43.4,-4.01,14.44,2.1
68,bluff,100,NZ,1586372797,91,-46.6,168.33,10.0,6.26
69,atuona,0,PF,1586372783,77,-9.8,-139.03,28.12,6.88
70,tahoua,99,NE,1586373120,12,14.89,5.27,40.0,1.0
71,shagamu,40,NG,1586373120,79,6.84,3.65,30.0,2.6
72,montepuez,58,MZ,1586372884,85,-13.13,39.0,21.29,1.95
73,saint-joseph,13,RE,1586372894,78,-21.37,55.62,25.0,3.1
74,norman wells,1,US,1586372967,27,35.22,-97.44,33.0,4.1
75,egvekinot,25,RU,1586372957,85,66.32,-179.17,-24.31,1.28
76,kapaa,75,US,1586372732,88,22.08,-159.32,23.0,2.6
77,ende,96,ID,1586373121,74,-8.84,121.66,27.35,1.53
78,abu kamal,16,IN,1586373121,18,24.6,72.7,20.57,0.74
79,hasaki,20,JP,1586372843,93,35.73,140.83,9.0,3.1
80,longyearbyen,20,SJ,1586372843,63,78.22,15.64,-21.0,3.6
81,saint-philippe,9,RE,1586372798,78,-21.36,55.77,25.0,3.1
82,tuatapere,100,NZ,1586372782,91,-46.13,167.68,10.0,6.26
83,clyde river,1,US,1586373122,63,41.3,-82.98,21.11,3.1
84,carnduff,80,CA,1586373122,60,49.17,-101.8,1.11,6.26
85,nekhayevskiy,52,RU,1586373122,40,50.41,41.76,11.11,1.79
86,conde,20,BR,1586372954,62,-7.26,-34.91,31.0,5.7
87,hithadhoo,79,MV,1586372810,67,-0.6,73.08,29.76,3.85
88,hobart,0,AU,1586372669,87,-42.88,147.33,6.67,4.1
89,ayagoz,100,KZ,1586373123,66,47.97,80.44,4.49,3.52
90,verkh-usugli,16,RU,1586373123,62,52.7,115.17,-2.69,0.97
91,braniewo,51,PL,1586373123,61,54.38,19.82,10.71,3.5
92,cherskiy,98,RU,1586372783,89,68.75,161.3,-18.92,6.73
93,saint-francois,0,FR,1586373123,31,46.42,3.91,18.0,2.6
94,sioux lookout,1,US,1586373123,41,42.73,-96.23,14.0,7.7
95,kargopol,21,RU,1586373124,84,61.51,38.95,1.45,2.57
96,gwadar,0,PK,1586373124,72,25.12,62.33,25.77,4.21
97,sao filipe,0,IN,1586373124,17,20.51,76.21,28.26,4.44
98,elektrogorsk,87,RU,1586373124,66,55.88,38.79,9.0,5.0
99,torbay,75,CA,1586372812,50,47.67,-52.73,2.78,5.7
100,alice springs,1,US,1586372985,46,27.75,-98.07,37.0,3.1
101,fort nelson,43,NL,1586373124,67,52.65,6.39,18.89,1.5
102,lashio,90,MM,1586372883,23,22.93,97.75,18.17,0.54
103,tasiilaq,20,GL,1586372793,74,65.61,-37.64,-2.0,7.2
104,port elizabeth,82,CD,1586373124,56,-7.03,29.76,23.73,1.52
105,mys shmidta,100,RU,1586373125,91,62.06,48.62,0.69,2.64
106,valdivia,0,CL,1586372917,43,-39.81,-73.25,23.0,2.1
107,salinas,90,US,1586373043,71,36.68,-121.66,16.67,4.6
108,souillac,40,MU,1586372861,78,-20.52,57.52,27.0,4.6
109,ferme-neuve,94,CA,1586373126,51,46.7,-75.45,7.85,0.55
110,cockburn town,0,AU,1586373126,71,-32.08,141.0,10.0,4.0
111,kovernino,85,RU,1586373126,84,57.13,43.81,4.36,3.98
112,faanui,70,PF,1586372794,75,-16.48,-151.75,28.05,6.41
113,normandin,20,CA,1586373126,85,48.83,-72.53,0.0,2.6
114,alofi,96,NU,1586372795,83,-19.06,-169.92,28.0,4.1
115,dahra,45,DZ,1586373126,61,36.25,0.85,15.4,6.32
116,georgetown,40,MY,1586372959,83,5.41,100.34,28.0,2.1
117,kigali,40,RW,1586372967,83,-1.95,30.06,21.0,1.5
118,naliya,0,IN,1586373127,87,23.27,68.83,24.84,4.38
119,grand centre,1,US,1586373127,14,38.88,-109.5,20.0,2.6
120,vardo,40,NO,1586372851,86,70.37,31.11,3.0,4.1
121,ponnampet,92,IN,1586373127,66,12.15,75.93,21.29,0.86
122,bushehr,93,IR,1586373127,25,28.97,50.84,29.0,4.1
123,omsukchan,98,RU,1586373127,80,62.53,155.8,-10.59,1.35
124,constitucion,3,CL,1586372823,48,-35.33,-72.42,18.87,2.57
125,lebu,0,CL,1586372644,52,-37.62,-73.65,18.64,2.34
126,ahipara,82,NZ,1586372883,72,-35.17,173.17,16.04,7.02
127,pravokumskoye,9,RU,1586373128,63,44.77,44.65,3.76,5.26
128,meulaboh,94,ID,1586372783,83,4.14,96.13,26.36,1.76
129,cape town,0,CL,1586373128,27,-36.41,-71.9,26.0,3.1
130,arraial do cabo,40,BR,1586373128,53,-22.84,-46.65,25.56,6.2
131,hamilton,20,US,1586373129,39,39.18,-84.53,26.0,6.2
132,bahia blanca,97,BR,1586373129,53,-12.0,-42.0,27.9,1.22
133,kuah,40,MY,1586373129,83,6.33,99.84,28.0,1.5
134,sinjar,25,IQ,1586373129,46,36.32,41.88,17.57,4.31
135,jati,0,PK,1586373129,70,24.35,68.27,24.69,4.63
136,playa del carmen,20,CU,1586373129,40,23.09,-82.45,32.0,3.6
137,fershampenuaz,53,RU,1586373130,89,53.52,59.81,-6.59,2.86
138,tessalit,0,ML,1586373130,8,20.2,1.01,32.9,3.24
139,puerto narino,100,ES,1586373114,55,36.59,-6.23,19.0,5.7
140,khalabat,20,PK,1586373130,87,34.06,72.89,18.33,2.1
141,alekseyevka,64,RU,1586373130,66,50.63,38.69,9.01,4.61
142,vestmannaeyjar,0,IS,1586373130,60,63.44,-20.27,4.0,3.6
143,atambua,100,ID,1586373130,78,-9.11,124.89,23.75,1.18
144,namibe,0,AO,1586372853,57,-15.2,12.15,23.75,6.73
145,bonavista,95,CA,1586372959,50,48.65,-53.11,1.67,3.58
146,skibbereen,75,IE,1586373131,87,51.55,-9.27,11.0,2.1
147,afyonkarahisar,70,TR,1586372738,43,38.75,30.67,8.23,2.76
148,codrington,1,AU,1586372839,86,-38.27,141.97,13.26,5.05
149,lompoc,20,US,1586372823,71,34.64,-120.46,13.33,2.1
150,carnarvon,7,AU,1586372786,83,-24.87,113.63,24.0,3.1
151,whitehorse,90,CA,1586372552,63,60.72,-135.05,-2.0,8.2
152,aranos,59,NA,1586373131,15,-24.13,19.12,26.09,3.59
153,geraldton,0,AU,1586372799,88,-28.77,114.6,19.0,2.1
154,foso,30,GH,1586373131,67,5.7,-1.29,29.02,3.3
155,dalby,90,AU,1586373131,82,-27.18,151.27,18.89,3.6
156,esperance,37,AU,1586372867,63,-33.87,121.9,18.0,8.2
157,mount isa,31,GB,1586373132,58,53.66,-1.85,17.78,3.1
158,paamiut,67,GL,1586372824,82,61.99,-49.67,1.43,1.62
159,tevaitoa,74,PF,1586373133,74,-16.78,-151.5,28.54,6.21
160,sur,0,OM,1586372795,46,22.57,59.53,27.92,2.48
161,kuching,20,MY,1586373133,88,1.55,110.33,26.0,1.0
162,biak,88,ID,1586372798,68,-0.91,122.88,26.0,1.29
163,iqaluit,5,CA,1586373109,66,63.75,-68.51,-11.0,1.5
164,jasper,1,US,1586373133,40,37.2,-94.35,30.0,1.5
165,kuzovatovo,96,RU,1586373133,69,53.55,47.69,6.17,3.33
