,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,rikitea,99,PF,1586533221,80,-23.12,-134.97,24.7,5.24
1,darab,94,IR,1586533221,17,28.75,54.54,26.23,7.5
2,berlevag,100,NO,1586533221,91,70.86,29.09,-1.56,7.88
3,kavieng,100,PG,1586533221,77,-2.57,150.8,28.61,3.42
4,hilo,90,US,1586533221,78,19.73,-155.09,23.0,2.1
5,barrow,1,US,1586532931,91,71.29,-156.79,-28.0,3.1
6,longyearbyen,20,SJ,1586532927,60,78.22,15.64,-15.0,2.6
7,busselton,100,AU,1586533221,45,-33.65,115.33,22.22,6.29
8,constitucion,2,CL,1586533221,60,-35.33,-72.42,16.44,1.25
9,san patricio,60,ML,1586533221,6,13.3,-4.9,40.99,1.47
10,hobart,75,AU,1586533221,93,-42.88,147.33,13.33,2.6
11,upernavik,17,GL,1586533221,86,72.79,-56.15,-8.08,2.35
12,yellowknife,40,CA,1586532948,71,62.46,-114.35,-12.22,6.7
13,sitka,20,US,1586533208,80,57.05,-135.33,-1.0,2.49
14,omboue,65,GA,1586533222,84,-1.57,9.26,28.56,4.85
15,kapaa,20,US,1586533188,88,22.08,-159.32,19.0,3.1
16,hithadhoo,4,MV,1586533222,63,-0.6,73.08,29.35,1.92
17,corn island,0,FR,1586533222,21,44.61,1.9,22.22,5.7
18,srednekolymsk,0,RU,1586533185,91,67.45,153.68,-9.29,4.67
19,new norfolk,6,LR,1586533222,47,6.65,-10.59,33.96,2.36
20,yeppoon,83,AU,1586533222,94,-23.13,150.73,21.0,1.24
21,norman wells,1,US,1586533094,40,35.22,-97.44,12.22,5.1
22,ushuaia,75,AR,1586533222,61,-54.8,-68.3,8.0,12.9
23,sao filipe,0,IN,1586533222,11,20.51,76.21,32.25,1.89
24,puerto ayora,20,ES,1586533091,64,36.59,-6.23,22.0,4.1
25,souillac,40,MU,1586533223,78,-20.52,57.52,26.0,6.2
26,cherskiy,28,RU,1586533223,88,68.75,161.3,-16.42,9.29
27,kroonstad,90,ZA,1586533223,24,-27.65,27.23,24.36,1.99
28,vsetaty,82,CZ,1586533223,36,50.28,14.59,17.78,2.6
29,joshimath,100,IN,1586533223,26,30.57,79.57,9.37,2.62
30,luau,100,AO,1586533223,65,-10.71,22.22,22.28,1.73
31,jamestown,90,US,1586533223,86,42.1,-79.24,3.0,8.2
32,hienghene,39,NC,1586533223,75,-20.68,164.93,23.19,3.88
33,albany,75,US,1586533202,52,42.6,-73.97,7.22,12.9
34,krasavino,100,RU,1586533223,92,60.96,46.48,0.48,4.63
35,iqaluit,20,CA,1586533223,71,63.75,-68.51,-14.0,1.0
36,calbuco,90,CL,1586533223,93,-41.77,-73.13,13.0,5.1
37,dalbandin,65,PK,1586533223,20,28.89,64.41,27.97,4.01
38,mount isa,100,GB,1586533224,46,53.66,-1.85,22.22,3.1
39,hermanus,0,ZA,1586533224,84,-34.42,19.23,22.78,4.02
40,concordia,40,AR,1586533224,56,-31.39,-58.02,21.11,5.1
41,samarai,20,PG,1586533224,82,-10.62,150.67,26.04,2.34
42,east london,75,IS,1586533224,69,65.0,-15.0,3.0,5.1
43,klaksvik,100,FO,1586533224,81,62.23,-6.59,8.0,8.2
44,weligama,36,LK,1586533224,83,5.97,80.42,26.15,1.55
45,port macquarie,68,CD,1586533224,55,-7.03,29.76,26.07,2.54
46,cape town,90,CL,1586533224,100,-36.41,-71.9,9.0,1.5
47,wanaka,0,NZ,1586533224,60,-44.7,169.15,7.6,2.96
48,ocampo,0,MX,1586533224,11,21.65,-101.5,20.09,2.75
49,daud khel,0,PK,1586533225,50,25.31,62.23,28.88,4.61
50,saskylakh,80,RU,1586533225,94,71.92,114.08,-3.47,8.11
51,atuona,6,PF,1586533180,74,-9.8,-139.03,27.73,4.47
52,kamaishi,20,JP,1586533225,77,39.27,141.88,3.33,4.8
53,naze,44,JP,1586533225,82,28.37,129.48,14.0,1.5
54,cabo san lucas,40,BR,1586533225,66,-8.28,-35.03,32.0,3.6
55,quelimane,54,MZ,1586533225,78,-17.88,36.89,24.74,3.75
56,mut,70,TR,1586533225,29,36.64,33.44,18.77,7.1
57,punta arenas,62,PH,1586533225,81,8.99,125.34,24.32,1.78
58,gunjur,0,GM,1586533225,36,13.2,-16.73,29.99,5.45
59,georgetown,40,MY,1586533225,79,5.41,100.34,30.0,2.1
60,college,90,US,1586533225,66,64.86,-147.8,-8.0,1.5
61,kavaratti,0,IN,1586533226,67,10.57,72.64,29.47,3.3
62,port alfred,68,CD,1586533226,55,-7.03,29.76,26.07,2.54
63,khatanga,100,RU,1586533226,95,71.97,102.5,-2.64,7.27
64,pevek,0,RU,1586533226,86,69.7,170.31,-20.59,7.97
65,trincomalee,0,LK,1586533226,70,8.57,81.23,28.1,4.43
66,tonj,49,SS,1586533226,31,7.27,28.68,35.18,2.05
67,thompson,75,CA,1586533224,52,55.74,-97.86,-7.0,1.5
68,hastings,3,GB,1586533039,67,50.86,0.57,23.0,8.2
69,guerrero negro,0,MX,1586533226,14,17.67,-100.0,29.56,1.03
70,saint-philippe,75,RE,1586533226,74,-21.36,55.77,26.0,8.7
71,brylivka,31,UA,1586533226,68,46.42,33.15,19.44,2.24
72,avarua,100,CK,1586533203,100,-21.21,-159.78,26.0,3.6
73,thinadhoo,0,MV,1586533226,59,0.53,72.93,29.46,1.64
74,bilibino,7,RU,1586533227,82,68.05,166.44,-24.8,0.94
75,saldanha,26,ZA,1586533227,74,-33.01,17.94,18.44,4.36
76,gornopravdinsk,100,RU,1586533208,94,60.05,69.9,2.72,3.7
77,inhambane,40,MZ,1586533113,73,-23.86,35.38,25.0,2.6
78,rognan,40,NO,1586533227,69,67.1,15.39,2.0,4.1
